order_id,date,category,product,region,quantity,unit_price,revenue
100000,2024-01-01,Beauty & Personal Care,Face Serum,North,3,832.38,2622.01
100001,2024-01-01,Beauty & Personal Care,Sunscreen SPF50,North,1,439.72,461.7
100002,2024-01-01,Office Supplies,Wireless Mouse,West,1,764.13,878.75
100003,2024-01-01,Apparel,Hoodie,North,2,1326.37,2785.37
100004,2024-01-01,Beauty & Personal Care,Sunscreen SPF50,Central,2,469.0,656.6
100005,2024-01-01,Electronics,Smartwatch,South,1,3305.46,4131.82
100006,2024-01-01,Apparel,Formal Shirt,Central,1,880.37,616.26
100007,2024-01-01,Home & Kitchen,Blender,North,1,1592.78,1672.42
100008,2024-01-01,Electronics,Bluetooth Speaker,South,2,1547.03,3867.58
100009,2024-01-01,Home & Kitchen,Blender,West,2,1570.21,3611.49
100010,2024-01-01,Home & Kitchen,Coffee Maker,North,1,2302.02,2417.12
100011,2024-01-01,Beauty & Personal Care,Sunscreen SPF50,West,1,469.17,539.54
100012,2024-01-01,Home & Kitchen,Non-Stick Pan Set,North,1,1847.47,1939.85
100013,2024-01-01,Home & Kitchen,Non-Stick Pan Set,East,1,1837.78,1562.11
100014,2024-01-01,Apparel,Running Shoes,South,1,2968.63,3710.79
100015,2024-01-01,Electronics,Bluetooth Speaker,South,2,1435.19,3587.97
100016,2024-01-01,Electronics,Laptop Stand,South,1,806.29,1007.86
100017,2024-01-01,Beauty & Personal Care,Hair Dryer,West,1,1679.34,1931.24
100018,2024-01-01,Electronics,Smartwatch,North,1,3477.66,3651.54
100019,2024-01-01,Electronics,Wireless Earbuds,East,1,2061.79,1752.52
100020,2024-01-01,Home & Kitchen,Air Fryer,South,1,3910.58,4888.23
100021,2024-01-01,Electronics,Smartwatch,North,2,3727.74,7828.25
100022,2024-01-01,Apparel,Cotton T-Shirt,Central,1,619.79,433.85
100023,2024-01-01,Home & Kitchen,Coffee Maker,South,1,2659.98,3324.97
100024,2024-01-01,Home & Kitchen,Blender,South,1,1516.31,1895.38
100025,2024-01-01,Beauty & Personal Care,Hair Dryer,West,1,1581.63,1818.87
100026,2024-01-01,Apparel,Running Shoes,East,1,2958.6,2514.81
100027,2024-01-01,Electronics,Bluetooth Speaker,East,1,1413.74,1201.68
100028,2024-01-01,Electronics,Wireless Earbuds,North,2,2024.93,4252.35
100029,2024-01-01,Home & Kitchen,Non-Stick Pan Set,East,1,1930.99,1641.34
100030,2024-01-01,Home & Kitchen,Non-Stick Pan Set,North,1,1796.33,1886.14
100031,2024-01-01,Office Supplies,Wireless Mouse,East,1,769.21,653.83
100032,2024-01-01,Home & Kitchen,Non-Stick Pan Set,South,1,1892.92,2366.15
100033,2024-01-01,Office Supplies,Notebook Set,North,1,280.27,294.29
100034,2024-01-01,Apparel,Running Shoes,East,1,3127.91,2658.72
100035,2024-01-01,Electronics,Smartwatch,Central,1,3240.03,2268.02
100036,2024-01-01,Apparel,Cotton T-Shirt,West,2,581.47,1337.39
100037,2024-01-01,Office Supplies,Desk Organizer,South,1,575.61,719.51
100038,2024-01-01,Office Supplies,Ergonomic Chair,North,1,7550.38,7927.9
100039,2024-01-01,Office Supplies,Ergonomic Chair,West,2,7439.6,17111.07
100040,2024-01-01,Apparel,Cotton T-Shirt,West,1,586.89,674.93
100041,2024-01-01,Electronics,Smartwatch,West,1,3743.55,4305.08
100042,2024-01-01,Electronics,Wireless Earbuds,West,1,1896.42,2180.88
100043,2024-01-01,Apparel,Running Shoes,West,1,2907.99,3344.18
100044,2024-01-01,Beauty & Personal Care,Hair Dryer,East,1,1474.65,1253.45
100045,2024-01-01,Electronics,Laptop Stand,North,1,750.66,788.19
100046,2024-01-01,Apparel,Formal Shirt,East,1,942.75,801.33
100047,2024-01-01,Beauty & Personal Care,Sunscreen SPF50,West,1,421.97,485.27
100048,2024-01-01,Office Supplies,Ergonomic Chair,South,1,7181.38,8976.73
100049,2024-01-01,Office Supplies,Desk Organizer,South,2,553.46,1383.66
100050,2024-01-01,Apparel,Running Shoes,North,1,2960.19,3108.2
100051,2024-01-01,Office Supplies,Wireless Mouse,East,2,837.91,1424.45
100052,2024-01-01,Home & Kitchen,Blender,North,1,1683.28,1767.45
100053,2024-01-01,Beauty & Personal Care,Sunscreen SPF50,South,1,456.62,570.77
100054,2024-01-01,Office Supplies,Wireless Mouse,South,1,789.52,986.91
100055,2024-01-01,Apparel,Hoodie,West,1,1246.59,1433.58
100056,2024-01-01,Electronics,Laptop Stand,West,1,743.59,855.13
100057,2024-01-01,Apparel,Hoodie,North,2,1259.58,2645.12
100058,2024-01-02,Electronics,Bluetooth Speaker,North,1,1420.97,1492.01
100059,2024-01-02,Electronics,Wireless Earbuds,East,1,1964.98,1670.23
100060,2024-01-02,Home & Kitchen,Vacuum Cleaner,West,2,5560.81,12789.86
100061,2024-01-02,Electronics,Bluetooth Speaker,South,1,1516.08,1895.11
100062,2024-01-02,Home & Kitchen,Coffee Maker,South,1,2339.73,2924.67
100063,2024-01-02,Beauty & Personal Care,Face Serum,North,2,747.75,1570.28
100064,2024-01-02,Beauty & Personal Care,Perfume,Central,2,2610.75,3655.04
100065,2024-01-02,Apparel,Formal Shirt,West,1,904.19,1039.82
100066,2024-01-02,Apparel,Formal Shirt,South,1,919.07,1148.84
100067,2024-01-02,Electronics,Laptop Stand,North,1,788.38,827.79
100068,2024-01-02,Electronics,Smartwatch,South,1,3431.52,4289.4
